"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD with steps","Test001","SUCCESS","2022-06-06T23:52:48.208+01:00[Europe/London]","0.0","6.35"
"Categories CURD with steps","Test002","SUCCESS","2022-06-06T23:52:54.573+01:00[Europe/London]","0.0","0.17"
"Categories CURD with steps","Test003","SUCCESS","2022-06-06T23:52:54.747+01:00[Europe/London]","0.0","0.1"
"Categories CURD with steps","Test004","SUCCESS","2022-06-06T23:52:54.843+01:00[Europe/London]","0.0","0.76"
"Product CURD test","Test001","SUCCESS","2022-06-06T23:52:57.315+01:00[Europe/London]","0.0","0.33"
"Product CURD test","Test002","SUCCESS","2022-06-06T23:52:57.648+01:00[Europe/London]","0.0","0.02"
"Product CURD test","Test003","SUCCESS","2022-06-06T23:52:57.664+01:00[Europe/London]","0.0","0.08"
"Product CURD test","Test004","SUCCESS","2022-06-06T23:52:57.739+01:00[Europe/London]","0.0","0.05"
"Service CURD with steps","Test001","SUCCESS","2022-06-06T23:52:57.820+01:00[Europe/London]","0.0","0.05"
"Service CURD with steps","Test002","SUCCESS","2022-06-06T23:52:57.869+01:00[Europe/London]","0.0","0.03"
"Service CURD with steps","Test003","SUCCESS","2022-06-06T23:52:57.901+01:00[Europe/London]","0.0","0.08"
"Service CURD with steps","Test004","SUCCESS","2022-06-06T23:52:57.986+01:00[Europe/London]","0.0","0.09"
"Stores CRUD  with steps","Test001","SUCCESS","2022-06-06T23:52:58.127+01:00[Europe/London]","0.0","0.06"
"Stores CRUD  with steps","Test002","SUCCESS","2022-06-06T23:52:58.195+01:00[Europe/London]","0.0","0.02"
"Stores CRUD  with steps","Test003","SUCCESS","2022-06-06T23:52:58.218+01:00[Europe/London]","0.0","0.07"
"Stores CRUD  with steps","Test004","SUCCESS","2022-06-06T23:52:58.290+01:00[Europe/London]","0.0","0.05"
